objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Ubongo 3D","46396","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111820612","6.2458","7.06829","1.9208","1963","2973","thing","Ubongo 3D","2","4","30","30","30","2009","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Uga Buga","106753","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98429705","5.6347","5.99095","1.0227","7568","2162","thing","Ooga Booga","3","6","10","10","10","2012","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","Rebel Sp. z o.o.","Polish","2012","Polish edition"
"Viticulture Essential Edition","183394","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","110154965","7.82056","7.97192","2.8922","41","73868","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Vudu","154880","0","0","0","0","0","0","0","0","0","0","0","3","","A","","","","108662312","5.78448","6.30434","1.1522","4771","4015","thing","Voodoo","2","8","30","30","30","2015","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Black Monk","Polish","2015","Polish edition"
"War of the Ring","9609","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","103382938","7.34414","7.77739","3.8464","208","14049","thing","War of the Ring","2","4","120","120","120","2004","2,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"War of the Ring: Second Edition","115746","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","103383484","8.19295","8.54859","4.2242","8","38827","thing","War of the Ring: Second Edition","2","4","240","240","150","2011","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Wsiąść do Pociągu: Europa","14996","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90829021","7.40102","7.52716","1.9174","172","129156","thing","Ticket to Ride: Europe","2","5","60","60","30","2007","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Days of Wonder; Rebel Sp. z o.o.","Polish","2007","Polish edition 2007"
"Wysokie Napięcie: Doładowana Wersja","2651","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828799","7.68691","7.80158","3.2503","70","84030","thing","Power Grid","2","6","120","120","120","2019","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","Lacerta","Polish","2019","Polish third ""recharged"" edition"
"Wysokie Napięcie: Europa Centralna/Beneluks","25031","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90828833","6.99674","8.00728","3.1419","0","9899","thing","Power Grid: Benelux/Central Europe","2","6","120","120","120","2007","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","expansion","","Lacerta","Polish","2007","Polish second edition"
"Załoga: Wyprawa w głębiny","324856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","91720641","7.82386","8.08862","2.0374","39","44538","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Galakta; KOSMOS","Polish","2021","Polish edition"
"ドブル　ポケットモンスター","63268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131024230","6.37333","6.53963","1.0393","1577","45974","thing","Spot it!","2","8","15","15","15","2021","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","Ensky","Japanese","2021","Japanese edition"
